r1,r2,r3,r4,r5,d1,d2,d3,d4,d5,radiant_win
99,64,8,14,82,68,48,128,28,60,False
39,35,86,96,5,64,104,22,28,41,False
88,36,71,14,93,10,39,5,137,30,False
1,15,121,41,30,93,102,71,26,35,True
42,4,16,14,106,35,25,27,71,45,False
93,2,26,37,47,67,97,119,5,22,False
114,40,84,69,39,98,9,67,35,22,True
135,71,32,64,74,13,47,45,90,81,True
71,42,74,9,53,67,47,22,27,106,False
28,138,84,86,54,40,97,74,14,45,False
12,37,98,119,46,84,126,54,28,64,False
35,64,97,25,22,86,28,74,1,72,True
30,104,45,35,14,119,114,49,37,50,False
31,12,45,28,27,75,121,9,41,137,True
12,121,7,93,28,80,70,111,45,35,True
23,26,90,114,110,65,66,19,74,1,False
49,5,70,69,102,55,40,97,71,46,False
10,85,78,35,123,41,19,40,72,21,True
76,94,128,138,100,62,19,45,41,98,True
102,100,72,19,21,129,65,41,110,98,False
121,13,102,10,79,46,72,71,23,22,False
17,71,21,92,48,89,72,121,120,28,False
72,48,23,40,13,54,121,19,98,119,False
121,41,76,128,83,14,135,21,19,5,False
32,71,72,107,6,89,20,120,63,21,False
95,5,102,88,119,1,66,26,71,80,False
76,26,110,4,2,25,63,129,119,10,True
13,19,123,14,48,98,40,20,82,102,False
27,110,89,120,98,135,100,72,17,25,False
114,53,19,95,98,1,71,91,5,102,True
93,76,40,88,92,48,126,62,26,15,True
39,5,1,98,45,43,40,129,6,103,True
13,40,137,123,41,110,19,62,103,89,False
63,136,67,120,112,89,17,60,83,53,False
121,41,53,137,100,42,63,86,83,22,False
107,91,12,96,78,10,42,27,39,135,False
45,135,48,62,90,120,23,30,20,46,False
58,129,61,14,109,1,121,83,96,88,False
138,83,97,119,107,41,29,74,72,45,False
41,28,63,58,37,71,13,89,23,112,True
22,88,51,54,21,46,7,32,86,16,True
14,2,74,30,8,36,20,54,46,9,False
73,55,18,41,5,25,65,82,129,114,False
76,110,135,26,48,3,25,41,28,21,True
14,102,11,83,84,98,45,111,76,1,False
50,71,41,13,102,30,105,90,67,96,True
50,17,77,14,18,34,104,86,53,93,False
129,52,50,41,88,99,10,138,1,121,True
41,26,7,129,98,67,43,123,108,27,True
39,86,36,44,71,59,99,88,50,67,False
16,37,93,74,22,2,123,52,41,30,False
123,47,14,27,70,79,99,19,54,13,True
85,37,39,67,90,123,48,14,35,28,True
45,84,50,35,23,2,100,10,6,105,False
44,26,49,5,57,71,36,8,22,72,False
10,100,119,74,36,14,5,13,70,37,False
20,14,36,10,62,123,137,76,1,27,True
16,43,62,54,87,138,26,41,29,36,False
70,14,87,52,100,74,98,35,12,30,False
64,80,48,110,14,6,37,11,7,94,False
56,119,20,70,29,93,121,77,19,66,True
76,56,65,25,114,94,35,88,21,98,True
102,7,48,91,86,66,70,123,129,14,False
136,44,101,23,128,62,19,45,93,26,True
58,11,72,53,8,83,65,71,17,10,False
19,16,83,74,41,91,1,14,120,60,True
13,88,137,73,21,23,58,67,28,26,True
23,28,83,9,21,10,5,71,98,17,True
28,83,110,21,113,88,43,48,17,53,True
25,26,43,16,79,100,47,65,85,41,True
1,98,40,76,3,19,7,72,41,112,True
58,97,41,114,112,98,71,48,110,137,True
90,79,104,83,56,39,14,91,66,89,False
113,135,112,26,59,39,45,79,136,48,False
102,20,88,66,80,40,22,1,3,17,True
21,53,89,129,26,46,83,20,25,102,False
22,83,113,53,100,14,26,82,10,5,True
65,120,31,26,1,102,19,86,45,38,False
66,55,26,107,8,25,76,121,137,20,True
95,80,68,121,129,39,12,77,86,45,True
