r1,r2,r3,r4,r5,d1,d2,d3,d4,d5,radiant_win
45,7,93,113,129,21,123,4,47,20,True
29,31,70,106,113,71,123,21,66,1,True
49,69,31,106,65,21,51,120,9,70,True
102,106,112,49,86,98,26,67,20,59,False
69,41,26,22,110,95,58,13,97,65,True
103,123,86,120,67,71,25,66,82,88,False
33,86,21,41,74,30,126,75,85,93,True
41,112,107,21,45,138,58,90,96,67,False
110,88,119,89,136,58,114,54,80,47,True
60,51,48,13,45,72,93,121,96,46,True
59,100,98,90,25,123,51,41,13,78,False
48,55,14,71,76,80,98,105,4,123,False
112,67,80,21,66,41,71,72,45,90,False
19,36,20,48,120,33,110,123,95,21,False
120,3,112,41,62,123,10,17,88,45,True
98,26,3,70,120,46,83,20,14,88,True
106,98,45,58,48,21,105,65,56,129,True
19,121,93,14,26,129,25,70,123,105,True
65,95,36,20,80,113,71,43,5,41,True
39,26,47,66,41,80,98,92,71,89,False
109,114,39,8,63,17,85,137,110,138,False
58,47,120,110,95,102,65,20,25,14,False
113,26,121,129,41,93,20,21,74,28,True
41,14,65,74,45,13,112,96,21,26,True
19,36,20,48,120,33,110,123,95,21,False
58,121,25,120,98,20,26,18,123,104,False
98,26,3,70,120,46,83,20,14,88,True
106,98,45,58,48,21,105,65,56,129,True
126,53,70,20,110,97,113,79,71,45,False
26,22,25,56,78,62,82,104,41,72,True
36,20,1,129,71,94,98,90,27,45,True
63,5,71,98,33,72,128,100,120,102,True
45,7,93,113,129,21,123,4,47,20,True
29,31,70,106,113,71,123,21,66,1,True
66,63,86,7,95,80,58,105,41,97,True
49,69,31,106,65,21,51,120,9,70,True
102,106,112,49,86,98,26,67,20,59,False
69,41,26,22,110,95,58,13,97,65,True
103,123,86,120,67,71,25,66,82,88,False
129,110,22,11,105,59,5,46,97,128,False
33,86,21,41,74,30,126,75,85,93,True
41,112,107,21,45,138,58,90,96,67,False
110,88,119,89,136,58,114,54,80,47,True
60,51,48,13,45,72,93,121,96,46,True
59,100,98,90,25,123,51,41,13,78,False
48,55,14,71,76,80,98,105,4,123,False
112,67,80,21,66,41,71,72,45,90,False
19,36,20,48,120,33,110,123,95,21,False
120,3,112,41,62,123,10,17,88,45,True
98,26,3,70,120,46,83,20,14,88,True
106,98,45,58,48,21,105,65,56,129,True
19,121,93,14,26,129,25,70,123,105,True
65,95,36,20,80,113,71,43,5,41,True
39,26,47,66,41,80,98,92,71,89,False
109,114,39,8,63,17,85,137,110,138,False
58,47,120,110,95,102,65,20,25,14,False
113,26,121,129,41,93,20,21,74,28,True
41,14,65,74,45,13,112,96,21,26,True
19,36,20,48,120,33,110,123,95,21,False
58,121,25,120,98,20,26,18,123,104,False
98,26,3,70,120,46,83,20,14,88,True
106,98,45,58,48,21,105,65,56,129,True
126,53,70,20,110,97,113,79,71,45,False
26,22,25,56,78,62,82,104,41,72,True
36,20,1,129,71,94,98,90,27,45,True
63,5,71,98,33,72,128,100,120,102,True
17,129,62,21,46,38,25,128,13,100,True
98,26,3,70,120,46,83,20,14,88,True
41,123,13,89,27,54,66,113,21,97,True
15,26,71,47,48,98,21,25,58,80,False
45,1,69,71,126,13,26,95,53,28,True
29,21,59,66,48,123,96,70,71,17,True
129,41,69,59,20,65,106,89,67,62,True
86,48,58,49,98,35,106,66,19,69,False
109,114,39,8,63,17,85,137,110,138,False
3,94,123,28,98,67,111,114,21,27,True
85,106,74,95,123,26,10,25,28,20,True
41,26,114,135,35,21,17,28,83,53,False
1,25,65,104,110,138,74,123,97,20,False
59,86,85,98,25,109,20,90,128,126,True
46,55,22,88,72,7,128,14,2,67,False
49,19,138,59,58,11,109,100,110,45,True
15,45,48,98,72,137,44,75,129,71,True
49,10,21,58,98,82,45,66,76,55,False
14,138,93,74,83,123,27,1,46,88,False
21,66,100,41,13,14,9,95,74,112,True
20,83,88,41,19,86,26,113,14,89,False
65,19,26,14,41,21,49,86,114,107,False
45,43,105,59,21,8,46,123,65,88,True
128,45,41,21,97,25,58,123,82,49,True
13,45,112,28,32,41,128,71,83,113,False
41,58,112,90,105,100,97,48,128,96,True
55,138,48,43,114,66,6,98,26,71,False
39,91,82,21,10,19,121,123,78,93,True
30,8,71,43,53,120,111,104,72,44,True
106,18,129,20,81,86,123,36,25,42,False
17,51,70,29,86,75,96,10,20,26,True
20,65,129,94,86,44,100,53,75,43,False
48,20,28,43,66,95,58,14,137,76,True
20,58,62,69,49,41,26,98,21,22,False
89,5,29,98,27,66,51,76,100,63,True
120,20,97,95,123,66,128,17,2,63,True
83,81,21,98,93,25,14,84,49,102,True
53,105,63,97,82,48,19,3,93,129,True
120,110,129,21,46,48,20,13,83,96,True
86,82,67,69,27,39,41,71,26,103,False
39,71,13,138,65,41,20,40,98,63,False
20,58,62,69,49,41,26,98,21,22,False
94,29,106,14,105,26,20,49,120,95,True
98,7,86,17,4,136,13,33,62,82,False
7,96,86,41,100,20,26,97,82,120,False
17,41,86,49,63,96,20,4,72,82,False
39,26,47,66,41,80,98,92,71,89,False
49,19,138,59,58,11,109,100,110,45,True
41,30,71,46,47,82,65,98,123,120,False
71,88,21,6,74,25,129,69,51,63,True
19,53,21,70,88,73,45,137,129,62,False
89,123,46,104,26,126,71,67,66,43,False
21,7,106,20,38,95,59,66,65,33,True
65,13,69,15,112,82,33,37,26,60,False
40,21,63,22,66,86,95,68,69,49,True
100,71,43,14,6,102,123,15,21,113,True
137,48,106,20,123,111,86,46,1,71,True
41,31,61,98,21,33,69,53,10,106,True
5,12,98,123,60,10,128,31,21,26,True
82,45,47,70,19,23,37,112,3,89,False
98,26,3,70,120,46,83,20,14,88,True
33,74,83,19,10,45,113,26,49,41,True
21,53,26,36,93,82,71,123,95,59,False
72,57,21,98,86,95,26,90,19,97,False
106,101,103,113,49,121,74,93,26,104,False
109,20,123,97,22,41,47,105,14,17,True
73,58,97,26,25,19,91,96,86,93,True
18,120,92,97,68,107,23,1,112,33,False
10,66,123,17,96,41,65,97,106,21,True
67,3,100,105,135,113,112,20,56,123,False
70,79,47,80,123,89,71,68,29,13,False
20,105,57,82,80,41,73,97,65,123,True
114,66,106,33,1,110,112,27,49,10,False
69,121,106,41,93,1,53,71,48,114,False
33,86,21,41,74,30,126,75,85,93,True
104,49,19,112,1,93,72,102,106,21,True
14,100,25,48,138,73,123,17,83,98,True
13,136,20,128,82,65,121,106,1,28,True
95,97,98,123,105,120,31,33,1,100,True
126,45,76,97,10,21,113,14,135,100,True
1,88,74,83,97,33,40,56,21,20,True
45,17,110,62,20,41,112,96,82,37,False
59,32,26,20,109,58,76,70,97,45,False
119,20,19,128,10,33,103,22,69,25,False
109,69,71,22,79,28,123,26,15,46,True
20,21,120,41,19,102,65,22,90,18,True
25,65,45,12,21,41,17,3,98,112,False
41,105,53,98,137,120,7,123,66,114,False
98,41,26,45,47,21,86,13,66,29,False
10,66,123,17,96,41,65,97,106,21,True
80,53,19,76,96,65,97,93,13,106,True
73,39,97,58,21,129,71,3,17,10,False
73,101,58,78,25,41,69,26,49,27,True
73,120,43,71,20,39,70,102,74,56,True
90,40,15,114,26,135,58,21,10,88,True
67,26,123,69,129,90,98,3,138,48,True
94,71,112,55,25,49,27,14,47,21,False
17,123,105,41,55,98,20,22,61,120,True
106,71,72,43,4,1,26,22,101,129,True
69,48,5,74,55,10,53,77,13,97,True
95,123,2,45,74,19,56,86,38,106,False
