r1,r2,r3,r4,r5,d1,d2,d3,d4,d5,radiant_win,id
45,7,93,113,129,21,123,4,47,20,True,7559783191
98,114,33,14,49,106,83,96,46,123,True,7558936058
33,72,69,17,1,25,112,85,65,86,False,7558641608
45,10,105,33,64,120,79,26,129,32,False,7558371948
129,33,32,123,25,9,16,76,41,68,True,7557314228
49,21,14,31,10,72,53,96,1,25,False,7555340796
10,123,65,72,106,13,37,95,136,26,True,7555064029
126,96,123,58,63,14,98,5,15,9,True,7555017216
97,67,72,65,74,100,21,26,54,39,False,7552181453
107,43,32,63,59,106,123,49,86,93,True,7551578355
41,29,66,20,106,100,65,97,98,93,True,7550918502
93,9,75,38,13,109,21,105,112,79,True,7550856202
129,105,128,106,41,114,97,20,120,93,False,7550801516
105,1,39,65,119,126,45,21,41,26,True,7550284714
86,76,99,69,94,46,100,112,91,70,True,7550168978
91,105,1,57,28,74,3,123,41,69,True,7549588388
93,71,17,92,123,65,21,19,82,114,True,7549456938
89,105,98,60,58,74,63,72,41,79,True,7549404457
61,53,63,95,26,105,76,97,65,48,True,7548649395
13,36,51,111,82,21,39,65,96,10,True,7546415411
19,91,69,20,82,96,105,106,93,45,False,7546352203
49,3,60,105,41,72,39,26,95,29,True,7546243420
51,45,59,15,93,137,53,20,78,82,True,7546164859
88,96,53,41,39,65,69,57,19,73,True,7546077203
90,123,5,100,93,45,129,48,56,105,False,7544405840
123,109,82,102,45,5,101,17,69,1,True,7544357908
1,123,84,19,129,106,121,10,119,25,True,7543154806
114,1,106,83,69,94,110,88,97,119,True,7543082766
105,62,93,98,40,15,100,112,45,48,True,7543005887
82,86,112,126,123,74,96,41,105,72,False,7542934102
5,13,101,102,135,76,20,29,93,110,False,7541712949
67,20,19,43,17,112,47,21,100,69,True,7541582179
26,66,120,48,96,28,1,79,57,106,False,7541527652
8,43,19,65,46,13,123,98,3,10,True,7541463872
67,14,13,55,53,126,69,100,121,21,True,7540256615
76,93,14,121,26,65,106,68,114,2,True,7540067889
55,106,45,21,86,113,98,26,63,110,False,7538842240
101,80,48,129,119,74,63,123,135,8,True,7537666976
73,46,20,112,96,103,78,17,22,63,True,7536973451
9,106,102,48,88,112,97,41,19,63,True,7536928668
60,17,40,7,69,112,56,93,72,29,False,7535741408
105,41,101,63,88,102,113,91,53,15,True,7535621228
60,101,71,10,106,20,92,112,1,96,False,7535312105
48,26,97,17,9,123,58,19,93,20,True,7535257932
112,70,22,100,92,43,110,69,93,26,False,7533572606
69,105,93,22,58,26,48,98,112,96,True,7533511132
101,41,104,106,20,12,66,105,137,90,True,7532853771
100,69,113,68,106,51,98,21,90,82,False,7532750777
56,121,47,51,84,13,21,103,19,43,False,7532664162
29,83,13,121,82,52,96,93,9,21,False,7532276170
13,21,8,123,69,82,91,112,14,126,True,7532182416
82,43,62,71,1,69,74,123,6,110,False,7532119539
20,123,102,25,41,14,120,75,93,86,True,7531963746
105,20,46,104,76,58,98,12,80,86,False,7530740650
39,56,18,110,86,89,112,129,26,106,True,7530670127
91,105,19,15,129,119,45,23,47,48,False,7530613665
41,33,92,17,100,63,42,58,65,90,True,7529929056
137,83,45,93,34,53,21,95,13,19,False,7529385630
53,82,26,120,48,41,14,25,20,19,False,7529321639
62,15,91,25,33,43,89,69,110,9,True,7527773473
90,110,129,105,95,8,98,3,82,91,False,7527710638
26,98,10,1,7,13,48,20,23,83,False,7527617429
92,88,34,19,1,22,113,111,8,69,False,7526553055
6,86,104,107,66,102,106,21,9,1,True,7526494588
64,46,121,14,8,107,7,137,21,27,False,7526413714
82,137,126,83,27,9,123,32,51,10,True,7526338107
100,41,53,97,123,64,48,105,73,55,True,7526263794
48,28,45,111,88,102,71,59,3,1,False,7524197914
76,5,96,41,88,91,25,90,21,100,True,7524138311
21,119,66,98,1,5,97,88,82,44,True,7524095770
47,71,136,25,76,45,19,21,95,51,True,7522447634
135,88,26,41,13,97,19,107,21,45,False,7522416786
53,19,83,107,38,10,128,20,97,98,True,7522367111
41,112,66,98,106,76,20,108,26,73,False,7520907913
56,41,80,112,102,21,33,53,39,66,True,7520863797
13,48,88,33,102,112,78,93,82,71,False,7520813314
98,10,85,112,101,21,56,19,65,72,True,7519457509
9,48,28,112,86,41,20,137,76,53,False,7519375225
135,3,20,112,67,48,72,92,19,86,False,7519291047
11,136,91,86,23,22,72,112,129,15,False,7519227256
59,109,43,86,91,114,65,96,112,22,False,7517781789
66,21,13,73,105,23,53,102,1,65,True,7517706694
45,98,1,28,105,99,14,63,53,102,True,7517648246
88,121,67,96,114,100,19,123,71,46,False,7517595214
19,16,83,74,41,91,1,14,120,60,True,7514639342
13,88,137,73,21,23,58,67,28,26,True,7513058048
23,28,83,9,21,10,5,71,98,17,True,7513002105
28,83,110,21,113,88,43,48,17,53,True,7512007336
25,26,43,16,79,100,47,65,85,41,True,7511500154
1,98,40,76,3,19,7,72,41,112,True,7511414219
58,97,41,114,112,98,71,48,110,137,True,7511330822
90,79,104,83,56,39,14,91,66,89,False,7509920310
113,135,112,26,59,39,45,79,136,48,False,7509825029
102,20,88,66,80,40,22,1,3,17,True,7509780801
21,53,89,129,26,46,83,20,25,102,False,7509717081
22,83,113,53,100,14,26,82,10,5,True,7508276126
65,120,31,26,1,102,19,86,45,38,False,7508229337
66,55,26,107,8,25,76,121,137,20,True,7508179537
95,80,68,121,129,39,12,77,86,45,True,7506739284
98,41,76,20,71,102,19,10,120,45,False,7502190133
65,20,41,128,55,53,74,48,113,38,False,7502089691
46,13,31,62,20,86,48,29,61,10,True,7500604211
21,48,33,58,129,51,94,114,40,26,True,7500240664
21,90,58,48,135,102,106,20,91,41,False,7500185844
52,49,40,48,53,89,3,98,77,65,False,7608998986
21,86,126,96,20,106,69,65,15,93,True,7608880668
25,65,83,100,15,19,69,53,32,114,False,7608810531
13,57,41,9,86,79,62,45,96,15,False,7608753232
74,112,103,138,23,98,53,45,123,97,False,7608698019
7,25,85,9,69,94,123,39,15,21,False,7608651101
129,25,123,85,90,7,89,45,15,22,False,7608611975
27,33,14,98,48,38,18,15,86,53,True,7608566223
98,62,65,15,76,41,83,21,17,73,False,7608519349
95,53,119,106,69,28,64,33,113,1,True,7608482558
38,13,53,109,100,17,83,48,85,43,True,7608441733
21,83,45,97,13,65,10,88,56,109,True,7608402631
53,23,123,126,18,120,31,38,95,105,True,7601355205
61,111,71,13,43,15,126,45,10,20,True,7601258400
46,91,65,128,15,106,105,45,129,10,False,7601177411
98,123,105,136,93,13,3,57,41,110,True,7601101109
123,14,112,100,59,33,5,19,49,46,True,7601007500
1,5,35,26,15,69,49,58,88,41,True,7600961361
59,123,10,33,96,80,87,40,57,82,True,7599568442
1,85,110,137,15,120,70,49,9,3,True,7599487050
12,15,112,20,80,40,123,74,49,10,True,7599407668
19,68,48,135,15,21,45,23,26,49,True,7599353398
98,19,41,45,28,14,81,105,27,25,True,7599293559
48,22,102,20,33,15,126,86,62,135,True,7599252174
85,20,28,58,41,98,111,86,106,95,True,7599213733
126,78,10,123,62,49,26,21,45,33,False,7597578615
33,107,20,19,82,79,109,86,49,97,True,7597511530
123,55,20,12,9,126,48,19,79,43,True,7597442175
82,79,45,137,29,9,49,123,23,5,True,7597400341
82,121,71,66,96,29,13,20,94,9,True,7597354764
48,23,100,123,96,38,49,3,94,20,True,7597329315
15,23,48,19,66,114,112,57,39,58,True,7597287002
38,105,74,10,58,23,79,14,123,63,False,7597229814
38,93,22,105,45,100,111,137,17,25,False,7597152746
82,96,68,123,73,15,58,13,41,14,False,7595098324
21,65,1,49,105,11,14,112,13,26,False,7595057241
128,136,12,120,105,58,65,29,92,48,False,7595035079
15,21,83,49,66,5,113,32,26,41,False,7594997592
38,26,22,105,10,93,45,88,126,20,False,7594965980
74,93,45,128,86,26,136,88,120,94,False,7594912083
22,123,97,65,18,100,15,128,58,21,True,7594865462
49,21,5,23,10,13,73,9,112,136,False,7594821481
35,129,65,21,20,69,26,41,53,106,True,7594732854
19,34,43,110,10,1,72,128,13,28,True,7592980216
12,47,26,112,66,14,85,21,65,120,True,7592953445
18,13,19,20,47,128,40,62,93,90,False,7592925276
14,121,82,63,114,95,66,26,106,73,True,7592901986
23,61,110,26,1,136,10,20,126,86,False,7592867408
136,39,91,43,72,93,105,101,34,97,True,7590832430
48,46,86,98,100,28,20,95,106,105,False,7590748493
46,66,39,103,33,14,112,68,113,41,False,7590640687
82,20,123,106,104,41,136,43,26,21,True,7590586752
49,105,98,82,65,6,76,45,7,87,True,7590471706
90,49,20,105,48,96,113,86,106,136,False,7590393450
15,20,88,114,39,109,113,99,14,69,False,7589015435
15,20,13,4,26,69,110,97,59,18,True,7588943320
65,3,41,34,55,33,19,123,1,59,True,7588910904
129,40,26,93,34,23,98,113,123,97,True,7588876550
22,26,136,49,98,28,93,20,39,65,True,7588838198
14,123,85,120,10,49,86,20,13,93,False,7588807810
97,121,106,112,41,114,20,105,28,48,False,7587158853
38,86,58,39,10,1,112,96,26,34,True,7587135468
106,53,69,3,21,23,20,74,48,123,True,7583997498
23,105,22,65,94,49,74,121,86,69,True,7583968794
96,41,121,45,25,128,123,49,73,80,False,7577723481
46,121,32,5,98,104,20,26,41,74,True,7577250951
49,121,21,69,51,23,20,113,45,15,False,7577194849
23,85,123,48,98,18,105,91,80,49,True,7568783994
96,53,70,46,138,69,26,74,20,93,False,7568733101
105,74,48,20,38,65,61,45,49,25,False,7567509887
49,21,66,80,100,43,20,95,97,120,False,7566081048
49,53,65,109,13,41,88,74,100,15,True,7565965261
98,26,112,114,38,82,96,45,123,25,False,7563264109
102,13,121,19,10,14,21,49,110,83,True,7563184860
35,41,69,33,110,86,26,66,94,98,False,7563099466
98,58,71,26,70,41,65,29,74,123,False,7563037129
92,19,94,20,74,109,68,106,58,97,False,7548740335
80,69,41,58,47,82,26,74,96,65,True,7548672818
62,92,20,14,48,90,43,53,26,89,True,7546837231
126,48,86,58,98,51,105,21,90,96,False,7546727019
28,93,105,22,113,137,19,55,8,5,True,7546609651
61,113,44,26,123,53,2,121,96,1,False,7546528748
25,123,45,97,70,98,53,5,109,65,True,7541637159
78,21,83,90,41,10,123,23,135,119,False,7534248442
43,19,83,25,8,88,54,98,34,62,True,7526754366
60,100,65,23,10,41,34,112,20,92,True,7526687079
69,26,54,13,5,56,43,19,119,39,False,7522629080
138,88,40,137,82,48,26,119,90,38,False,7521675193
96,66,67,110,17,21,113,63,71,58,False,7521617356
41,92,110,19,13,97,83,74,21,65,True,7511574502
1,14,63,65,66,69,110,53,23,93,True,7511499220
89,126,66,43,7,1,19,14,76,112,False,7511378545
120,41,83,110,69,10,128,21,66,65,True,7511335684
92,26,83,41,61,97,113,121,56,48,True,7509808702
82,121,71,66,96,29,13,20,94,9,True,7597354764
19,10,100,98,21,49,9,14,12,126,True,7596630815
49,66,121,63,21,23,88,92,3,59,False,7596272873
93,64,35,119,98,73,22,123,20,19,True,7596151521
19,65,88,4,86,49,93,97,105,128,True,7595528814
41,79,65,49,47,80,59,20,55,19,False,7594914509
120,20,49,93,40,109,119,21,33,97,False,7594888387
25,20,19,86,65,10,26,96,110,17,True,7594828998
41,62,120,123,58,55,13,49,105,65,True,7593604146
29,25,36,53,79,89,33,96,123,13,False,7593533141
98,48,49,26,86,93,100,33,43,20,False,7591570884
13,1,29,85,27,98,120,48,20,105,False,7586770737
29,68,126,123,41,96,74,22,60,94,True,7586714522
91,90,93,45,129,96,123,98,94,58,True,7586667161
1,64,19,22,47,25,98,20,29,105,False,7585485410
55,58,49,51,1,18,47,20,90,65,True,7585366645
25,105,55,88,41,29,40,20,97,63,False,7585100807
96,58,20,10,13,48,123,21,83,107,True,7584919608
93,5,28,106,123,97,13,114,65,58,False,7584838761
65,49,96,95,105,55,110,62,46,82,True,7584768534
106,26,10,29,20,98,48,66,113,86,True,7584692002
19,13,21,10,110,98,126,3,41,100,True,7583965726
21,89,90,29,40,98,95,39,123,20,True,7583930982
49,66,27,73,97,48,3,105,23,25,False,7583905279
86,137,21,7,95,29,58,41,105,129,False,7583422052
65,123,46,129,10,28,113,45,20,86,False,7583353386
49,65,105,1,137,59,45,41,20,97,True,7581514366
95,26,96,129,123,98,13,21,20,66,False,7581421073
46,7,85,98,47,40,95,105,120,86,False,7576696113
43,93,27,61,20,28,53,5,137,113,False,7576646366
58,45,46,129,48,29,123,39,26,41,False,7576512189
28,112,49,21,86,66,26,106,97,93,False,7576434542
16,17,65,119,10,33,113,49,45,21,True,7576341285
38,123,45,59,48,137,33,9,25,70,True,7575890575
78,88,45,120,61,25,26,71,33,46,False,7575822219
98,72,86,61,95,25,113,14,30,21,True,7574518787
40,1,60,20,98,49,86,79,96,106,False,7574322085
98,110,26,88,82,90,83,123,49,114,True,7574226644
98,106,20,93,101,48,58,85,114,29,True,7572973109
73,46,86,5,112,82,123,138,17,49,False,7572934332
