r1,r2,r3,r4,r5,d1,d2,d3,d4,d5,radiant_win,id
82,123,120,69,3,49,9,79,11,23,True,7625483570
98,72,10,7,129,21,109,106,86,42,False,7625430216
52,54,69,86,46,19,21,55,1,105,True,7625220857
9,57,44,7,52,51,18,45,21,80,True,7625175396
17,111,19,57,1,35,40,123,120,21,False,7625257214
35,105,19,9,73,48,97,45,61,33,False,7625504535
73,53,26,63,86,19,109,45,28,52,False,7625420065
86,23,9,73,21,53,44,88,49,59,False,7624989254
18,82,135,109,138,26,137,13,95,9,True,7624912078
73,53,26,63,86,19,109,45,28,52,False,7625420065
51,90,56,18,129,49,112,89,61,105,True,7625367725
7,9,129,10,23,98,5,88,21,69,False,7625286403
38,65,120,18,5,90,129,41,9,53,False,7625425376
105,110,104,93,74,7,52,78,54,65,True,7625369547
41,9,69,57,19,96,86,13,66,32,True,7625088651
27,17,57,5,93,23,49,86,58,113,False,7625017422
90,19,98,21,26,100,20,48,138,23,False,7625523278
44,17,107,27,105,103,98,48,26,137,False,7625445351
106,110,109,54,23,41,20,86,25,15,False,7625357287
21,53,86,69,15,39,40,70,109,43,False,7624954337
39,48,98,79,45,18,40,55,109,19,False,7624907034
120,86,89,105,71,65,109,136,52,21,False,7625307052
53,73,17,5,18,98,66,62,70,71,True,7625128355
100,9,74,96,21,15,30,137,52,41,True,7625513384
72,57,22,109,53,15,45,86,18,43,True,7625487373
123,23,11,9,13,137,129,73,41,21,True,7625116422
56,21,129,14,1,9,82,16,49,63,False,7625342936
25,49,26,120,109,44,96,74,19,40,True,7625141648
96,13,1,121,9,47,19,106,52,91,True,7625079458
80,137,45,19,12,10,109,72,113,96,False,7624991394
105,17,5,21,70,43,49,19,101,1,False,7624929276
96,53,72,35,65,7,13,9,48,21,False,7624895014
44,82,33,19,97,10,65,85,96,137,True,7625172530
44,39,78,61,26,33,49,19,52,73,False,7624945925
35,105,19,9,73,48,97,45,61,33,False,7625504535
15,14,76,41,109,70,86,31,137,21,True,7625463955
114,9,18,109,96,54,57,5,26,49,True,7625378062
137,22,11,19,73,90,2,20,44,52,True,7625274130
121,105,96,95,59,15,52,9,106,23,True,7625179938
18,20,19,61,14,5,43,26,15,69,False,7625140921
123,22,57,44,58,52,105,14,18,19,True,7625078313
89,9,25,73,123,62,41,53,27,129,False,7624992763
73,5,109,74,44,128,62,8,52,49,False,7624951778
25,21,105,114,69,94,27,9,137,97,False,7625454009
98,19,46,65,137,49,53,114,106,86,False,7625372463
49,45,52,57,105,10,65,14,74,129,True,7625095633
96,79,21,105,15,65,45,10,39,88,True,7624988120
82,49,9,109,25,123,69,21,2,14,True,7624878916
120,63,52,112,129,107,72,48,106,65,False,7625498899
73,53,26,63,86,19,109,45,28,52,False,7625420065
13,53,97,123,21,41,66,121,69,7,False,7625239152
54,106,26,47,19,95,86,23,13,66,True,7625272925
46,109,47,52,49,15,19,21,41,105,False,7625148578
40,17,88,1,65,26,138,58,98,106,False,7624984074
49,52,96,26,66,35,105,137,72,71,True,7624913655
45,72,41,22,49,109,73,5,17,137,True,7625143861
94,88,15,45,98,18,123,2,52,53,True,7625074138
60,95,119,9,90,42,105,99,13,111,False,7624917424
17,96,79,48,9,120,91,15,105,67,False,7625267304
52,22,96,93,9,29,39,3,5,46,True,7625209023
98,123,85,44,69,15,66,43,94,19,True,7625069770
52,79,92,13,114,5,113,2,86,41,False,7624999880
22,19,98,94,57,48,63,53,17,69,False,7625254101
39,65,95,14,57,44,28,26,135,22,True,7624954952
104,26,85,6,106,120,94,19,15,90,True,7625408547
135,113,97,27,9,13,54,62,26,71,True,7625325661
9,40,1,106,49,89,5,114,19,98,False,7625313864
18,119,28,39,7,19,26,5,44,13,True,7625266846
65,112,72,45,137,17,53,15,40,1,False,7625176199
23,123,95,88,13,62,78,65,11,126,False,7625087185
120,104,93,123,19,40,33,34,21,98,False,7625482796
105,52,76,123,102,13,9,41,21,40,True,7625423814
10,13,96,26,66,19,38,21,112,73,False,7625367897
9,40,1,106,49,89,5,114,19,98,False,7625313864
95,62,120,137,65,73,17,105,52,23,False,7625249784
21,109,86,96,54,95,98,52,19,28,False,7625147394
23,98,7,58,93,9,86,129,137,41,True,7625073465
61,98,48,66,123,120,129,94,26,9,True,7625028559
53,123,41,96,13,71,93,9,106,61,False,7624987608
13,19,53,129,1,59,86,137,64,18,False,7624926681
126,89,45,2,53,18,65,13,19,92,True,7625323488
46,9,103,61,52,27,109,39,44,65,False,7625219646
49,45,52,57,105,10,65,14,74,129,True,7625095633
54,62,114,9,69,23,58,19,77,12,True,7624963470
13,52,44,107,55,22,19,137,5,41,True,7624888562
4,105,65,52,69,1,107,109,19,86,True,7625442467
49,45,52,57,105,10,65,14,74,129,True,7625095633
1,53,26,47,69,82,27,45,17,21,True,7625059364
54,62,114,9,69,23,58,19,77,12,True,7624963470
93,86,97,106,91,76,20,46,66,98,False,7625252449
121,26,63,19,74,120,66,123,72,129,False,7625183987
95,137,9,123,57,53,86,74,73,129,True,7624967701
52,123,43,54,23,121,129,5,41,13,True,7624889033
17,111,19,57,1,35,40,123,120,21,False,7625257214
46,109,47,52,49,15,19,21,41,105,False,7625148578
21,26,19,65,137,13,53,114,62,129,False,7625049676
52,123,43,54,23,121,129,5,41,13,True,7624889033
52,20,7,129,70,109,86,27,3,137,True,7625448824
120,63,10,20,107,12,53,9,22,96,False,7625380567
46,123,71,72,21,10,13,105,53,96,False,7625042687
21,20,90,28,25,10,53,9,19,95,False,7625000322
72,19,128,93,61,76,65,41,20,26,False,7624902950
44,29,75,52,19,98,97,22,93,5,True,7625196444
53,105,93,13,98,63,109,9,113,49,False,7625152555
94,88,15,45,98,18,123,2,52,53,True,7625074138
44,39,78,61,26,33,49,19,52,73,False,7624945925
28,105,53,15,126,44,45,41,121,135,True,7624891457
44,64,97,22,27,41,53,126,33,49,False,7625382545
10,85,120,22,68,21,19,13,20,46,False,7625313174
26,120,43,103,54,46,52,109,3,96,True,7625228178
109,107,20,105,57,9,78,44,49,45,True,7625168199
18,53,137,5,55,52,105,57,44,45,True,7624966896
112,95,13,129,26,10,40,59,57,105,False,7625366345
93,86,97,106,91,76,20,46,66,98,False,7625252449
21,109,86,96,54,95,98,52,19,28,False,7625147394
89,9,26,129,76,19,41,126,73,30,False,7625067481
105,52,76,123,102,13,9,41,21,40,True,7625423814
112,95,13,129,26,10,40,59,57,105,False,7625366345
120,86,89,105,71,65,109,136,52,21,False,7625307052
13,37,19,18,50,49,123,112,98,1,False,7625215849
95,62,120,137,65,73,17,105,52,23,False,7625249784
52,54,69,86,46,19,21,55,1,105,True,7625220857
33,93,47,137,19,82,21,25,53,98,True,7625120983
56,21,129,14,1,9,82,16,49,63,False,7625342936
15,105,85,32,13,49,9,114,65,28,False,7625301388
13,37,19,18,50,49,123,112,98,1,False,7625215849
123,23,11,9,13,137,129,73,41,21,True,7625116422
100,9,74,96,21,15,30,137,52,41,True,7625513384
13,66,114,129,109,21,9,120,74,105,True,7625439043
7,9,129,10,23,98,5,88,21,69,False,7625286403
52,20,129,69,21,22,65,51,32,61,True,7625053467
54,62,114,9,69,23,58,19,77,12,True,7624963470
74,9,92,100,70,13,91,21,14,138,True,7625065079
53,73,17,5,18,98,66,62,70,71,True,7625128355
105,96,82,72,53,57,26,21,123,13,True,7625031976
53,123,41,96,13,71,93,9,106,61,False,7624987608
76,66,5,17,15,85,129,13,72,95,True,7624925106
129,48,13,30,109,18,26,86,137,11,True,7625501992
13,66,114,129,109,21,9,120,74,105,True,7625439043
107,26,88,18,123,73,45,20,106,96,True,7625358704
120,114,66,112,49,76,93,52,109,84,True,7625477377
123,20,129,120,44,69,96,89,65,137,False,7625333329
25,96,52,58,44,18,105,49,53,13,False,7625257121
44,45,26,43,61,109,35,66,101,71,True,7625200779
10,39,53,96,120,98,119,83,13,95,False,7625104792
120,40,52,93,73,33,86,85,126,48,True,7625023151
23,136,20,96,21,113,69,52,49,48,True,7624948963
7,9,129,10,23,98,5,88,21,69,False,7625286403
46,9,103,61,52,27,109,39,44,65,False,7625219646
126,65,44,61,123,49,121,63,120,45,False,7625133435
105,96,18,56,85,52,137,3,53,1,True,7625082405
23,136,20,96,21,113,69,52,49,48,True,7624948963
13,52,44,107,55,22,19,137,5,41,True,7624888562
54,120,79,53,49,4,85,126,23,65,False,7625412334
120,40,52,93,73,33,86,85,126,48,True,7625023151
21,53,86,69,15,39,40,70,109,43,False,7624954337
74,72,48,60,123,73,86,79,129,46,False,7625422832
93,26,17,58,97,43,129,6,79,66,False,7625225596
95,26,78,110,74,128,58,96,123,54,False,7625139944
74,9,92,100,70,13,91,21,14,138,True,7625065079
