r1,r2,r3,r4,r5,d1,d2,d3,d4,d5,radiant_win,id
23,96,74,105,93,128,49,21,26,102,True,7624774827
57,21,22,95,5,49,27,2,79,76,False,7624766245
137,10,103,15,86,54,120,69,105,33,False,7624763717
17,109,21,75,19,44,119,13,49,5,False,7624742039
39,29,7,20,42,72,76,136,103,68,False,7624734256
9,95,17,79,38,18,112,106,86,129,False,7624725165
13,45,28,123,76,75,37,98,33,20,True,7624702775
86,129,95,26,104,21,84,25,48,19,True,7624700990
55,119,48,98,68,39,61,70,19,9,True,7624700843
22,129,70,9,64,19,71,63,72,3,True,7624690623
18,5,120,123,96,86,23,93,53,129,True,7624671179
21,13,83,48,20,103,121,18,39,85,True,7624664611
21,13,102,1,19,39,71,123,101,10,True,7624657601
18,71,123,30,106,23,78,90,6,102,True,7624651244
5,112,13,10,104,71,17,73,53,26,False,7624626576
86,94,74,62,69,67,84,106,105,21,True,7624623348
73,53,59,65,96,105,90,41,23,79,True,7624619478
52,96,94,86,123,63,71,9,19,119,False,7624614794
70,71,100,27,135,22,41,29,64,84,True,7624589825
90,15,71,97,44,84,14,54,120,59,True,7624589270
44,84,110,76,5,86,14,25,114,53,False,7624586412
86,10,23,105,62,9,17,73,19,129,True,7624578184
101,102,18,17,20,10,14,2,68,44,True,7624558461
10,49,26,106,21,97,48,45,129,5,True,7624558056
22,57,87,4,120,70,96,17,45,5,False,7624555984
93,129,26,5,21,15,126,14,18,9,True,7624532868
19,71,26,72,20,46,49,86,84,106,True,7624528876
96,22,10,26,5,32,1,52,98,69,True,7624526244
104,23,121,18,86,94,14,54,88,22,True,7624523265
14,126,25,18,9,33,5,100,120,10,False,7624502150
44,28,20,119,22,106,21,19,95,26,True,7624500735
96,10,35,2,86,21,1,119,69,85,True,7624499802
97,102,44,27,74,19,48,126,72,69,False,7624492860
136,20,65,46,72,63,22,5,9,49,False,7624477209
123,11,71,105,48,72,84,21,25,22,True,7624466155
66,95,19,9,28,65,5,15,77,18,True,7624424306
47,98,120,105,41,10,76,96,52,5,True,7624389211
71,49,35,48,26,65,25,70,96,5,False,7624386318
18,56,11,36,8,135,48,106,86,26,True,7624362944
18,120,29,86,121,3,96,73,9,95,True,7624361060
18,76,28,65,86,41,47,137,9,5,False,7624356153
55,31,48,84,22,40,86,25,5,11,False,7624336190
70,46,49,105,121,18,43,96,9,86,False,7624324791
47,19,17,26,44,109,13,49,53,20,True,7624321269
25,11,86,5,129,22,49,10,26,84,True,7624306560
113,46,129,26,110,54,126,69,79,109,False,7624266320
7,19,26,101,104,13,98,58,46,86,False,7624260632
9,48,79,17,129,78,18,74,105,58,True,7624223524
48,86,7,13,9,114,72,98,84,29,True,7624213876
86,137,9,10,79,85,63,129,65,52,False,7624189175
114,121,129,49,5,48,2,64,39,71,True,7624172524
96,13,109,79,65,5,18,126,86,23,False,7624146019
105,23,41,84,120,88,111,35,112,4,True,7624131849
120,86,79,52,41,5,73,137,65,59,True,7624101871
41,105,29,109,49,90,73,55,19,5,False,7624064985
58,18,105,71,19,9,45,112,137,54,False,7624060824
5,109,78,9,49,96,74,110,105,89,True,7623986877
4,129,110,123,13,82,109,65,20,74,True,7623973962
105,49,28,85,109,17,18,47,19,9,True,7623947832
21,22,23,62,48,95,43,88,5,112,False,7623943100
4,86,123,129,36,106,98,112,19,93,False,7623881615
112,88,78,13,45,53,137,73,105,63,True,7623858973
40,129,49,62,10,17,54,65,33,9,False,7623847127
5,48,49,23,79,98,17,110,10,19,True,7623846810
20,7,54,15,53,93,96,21,106,105,True,7623757294
85,123,106,18,28,89,14,26,17,45,True,7623753289
5,48,120,19,79,98,21,45,18,86,True,7623731185
78,44,19,121,31,45,105,129,63,21,False,7623695286
12,100,112,21,22,53,61,10,86,71,False,7623673843
97,86,120,45,41,123,85,17,1,96,False,7623646426
5,48,120,49,105,98,21,103,94,86,False,7623632238
21,73,106,105,48,54,137,96,20,123,True,7623601565
72,11,50,28,136,10,69,112,119,46,False,7623579605
129,26,109,28,20,9,65,18,39,23,True,7623514032
82,17,96,90,5,54,110,13,19,137,False,7623497900
72,45,96,3,90,100,123,98,58,4,True,7623401753
18,23,77,65,9,54,121,52,26,129,False,7623382418
10,109,20,79,82,75,45,96,71,61,False,7623353176
52,56,49,44,85,13,96,48,100,86,True,7623339468
126,4,86,3,28,22,21,135,48,14,True,7623301022
29,35,86,129,95,44,14,97,52,84,False,7623291018
41,74,96,105,9,18,65,120,26,137,True,7623277378
100,56,128,40,96,39,21,123,27,48,False,7623265220
62,114,22,123,51,84,74,2,18,86,True,7623259961
7,2,75,9,11,128,29,19,97,26,False,7623233201
84,106,22,104,35,82,136,86,43,33,True,7623219972
74,88,96,48,102,23,71,45,20,63,False,7623204434
28,39,48,9,86,81,25,70,5,27,True,7623195978
26,57,45,58,42,84,19,69,21,90,True,7623173536
112,18,120,9,102,1,121,2,23,84,True,7623165933
1,25,104,5,86,20,77,48,74,15,True,7623159585
23,135,101,10,123,129,21,45,63,64,True,7623132964
112,84,87,1,52,50,120,104,70,86,True,7623129845
19,88,71,46,5,7,126,103,138,98,True,7623126780
25,96,86,119,76,22,106,60,45,7,True,7623100007
69,44,104,53,39,21,25,18,110,3,True,7623097700
51,9,68,129,72,19,86,21,49,20,False,7623082102
19,71,26,95,68,44,49,121,47,31,False,7623074607
13,18,68,72,102,46,51,14,5,35,False,7623069565
21,110,128,48,84,13,10,14,129,86,False,7623047139
