r1,r2,r3,r4,r5,d1,d2,d3,d4,d5,radiant_win
98,46,114,53,20,31,112,95,74,2,True
13,5,35,100,135,48,46,78,26,51,True
97,25,96,22,68,43,31,121,77,1,True
14,113,128,112,13,69,93,84,30,43,True
10,43,96,121,65,53,26,76,6,71,True
106,91,30,102,137,43,62,74,22,96,False
10,21,29,136,5,35,69,48,84,26,False
46,17,65,48,29,33,97,7,105,32,False
27,106,43,73,102,26,82,135,96,22,False
74,86,17,1,83,129,34,71,25,64,True
22,42,123,14,70,13,105,106,30,93,True
126,40,21,46,5,136,128,93,13,97,True
9,64,76,107,8,128,54,13,33,102,True
96,59,26,86,18,13,17,136,106,123,True
28,42,86,62,22,71,64,3,53,54,False
10,91,80,39,84,64,109,114,28,86,True
26,41,120,19,110,70,128,69,53,51,True
96,79,41,86,123,136,64,17,48,28,True
53,10,63,3,105,41,49,121,22,84,False
95,123,21,29,14,83,76,30,28,26,False
128,129,26,70,39,41,16,86,53,11,True
43,98,96,67,53,20,21,22,19,85,False
121,76,83,93,57,21,48,39,2,84,True
78,27,25,38,100,129,5,54,106,123,True
35,16,79,123,26,48,96,20,42,45,True
21,15,76,5,2,110,129,13,102,83,False
20,123,59,28,8,82,69,74,121,64,True
45,95,112,121,17,28,26,123,39,69,False
78,58,39,26,93,53,25,137,14,5,True
60,83,10,39,86,37,20,95,42,28,True
105,2,128,89,71,135,69,53,14,121,True
22,129,42,101,53,69,45,74,105,18,False
82,102,75,98,5,21,13,53,49,135,True
126,119,96,93,110,128,112,102,85,21,True
96,121,98,26,41,120,114,97,86,110,True
4,129,83,17,26,61,21,60,51,90,False
60,20,86,49,114,26,14,13,29,121,True
94,120,129,110,72,86,62,69,73,58,False
58,137,91,48,17,73,106,123,20,61,True
43,95,53,29,123,82,31,20,50,114,True
48,25,123,91,29,20,55,100,21,98,False
86,22,96,73,53,48,21,105,69,51,True
119,114,104,86,112,10,105,60,3,39,False
86,109,39,96,20,43,100,121,23,54,False
22,47,100,1,86,71,26,44,137,20,True
14,15,66,62,53,28,8,121,21,20,True
48,45,20,106,54,97,37,123,18,55,True
82,52,14,20,35,43,26,93,112,2,False
93,106,123,31,69,105,97,53,120,94,True
38,105,109,20,106,1,112,26,28,49,True
14,73,51,26,86,76,121,69,94,100,True
10,98,84,21,100,22,58,102,5,82,True
123,52,102,26,46,106,20,79,29,109,False
10,20,98,128,136,39,53,48,86,96,False
67,2,22,20,40,8,97,43,27,121,True
74,10,21,27,69,20,39,123,78,41,True
13,100,121,32,128,137,102,85,69,79,False
70,128,23,96,121,20,82,54,26,129,True
48,69,105,106,20,59,86,1,97,30,True
53,41,96,20,128,102,121,111,75,60,True
14,73,38,26,114,85,107,2,63,23,True
85,48,102,43,76,28,26,100,25,109,True
74,33,7,30,6,129,101,121,76,42,False
6,68,29,53,83,2,59,20,26,40,False
136,48,47,105,25,96,106,123,79,114,False
128,41,19,97,33,93,21,96,79,26,True
84,68,99,20,75,114,98,100,106,30,False
1,136,21,105,25,91,23,17,15,123,True
54,64,21,104,84,96,26,48,106,85,False
113,83,16,60,53,46,121,1,26,96,True
41,74,81,71,14,104,112,93,111,36,False
53,137,35,104,119,129,21,121,54,45,False
105,1,136,21,25,23,17,91,15,123,True
41,120,129,64,107,36,6,20,99,86,True
75,54,16,26,120,73,11,104,105,20,True
66,74,123,16,41,37,46,42,137,96,False
6,64,29,101,137,15,22,43,69,5,True
112,31,2,85,94,105,1,21,53,107,True
66,2,17,138,10,106,95,110,19,5,True
53,43,73,9,129,100,106,96,110,93,True
17,12,128,69,121,114,94,13,92,85,True
21,31,38,10,126,123,92,106,14,45,False
123,76,69,73,110,85,135,106,26,25,False
58,113,13,69,20,74,100,104,10,86,False
123,34,129,41,20,65,54,106,86,28,False
66,60,137,105,95,96,41,28,64,56,False
86,46,106,28,121,123,20,69,21,80,True
96,10,17,53,79,102,21,120,29,72,True
46,86,106,28,121,123,21,69,20,80,True
102,123,14,74,97,93,64,55,13,71,True
10,14,120,17,20,53,45,48,76,40,True
20,69,106,94,105,92,48,82,45,65,True
106,8,105,26,78,110,54,17,37,71,False
105,95,39,86,69,19,53,48,28,128,True
59,93,20,21,28,82,55,13,123,31,True
7,68,129,41,86,123,20,69,46,126,False
89,21,106,136,26,86,78,58,74,41,False
82,58,106,97,26,128,37,96,126,73,False
72,56,135,106,129,63,14,21,20,17,True
86,69,106,10,121,107,94,60,45,20,True
53,1,96,17,72,49,100,28,10,123,True
96,66,123,120,73,74,9,26,86,89,True
51,86,19,93,14,82,23,47,97,30,False
25,13,86,31,69,108,20,93,135,126,False
97,35,42,30,31,26,101,15,17,18,False
48,20,96,21,119,31,54,100,74,28,True
